file,name,line,tokens,words_num,polarity,subjectivity,lex_div
script-ch0.rpy,Sayori,Its delicious!,"['delicious', '!']",2,1.0,1.0,1.0
script-ch0.rpy,Sayori,Monika really is a great leader!,"['monika', 'really', 'great', 'leader', '!']",6,1.0,0.75,1.0
script-ch0.rpy,Sayori,Yeah!,"['yeah', '!']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,Ehehe your cupcakes your poems...,"['ehehe', 'cupcakes', 'poems', '...']",5,0.0,0.0,0.8
script-ch0.rpy,Sayori,Everything you do is just as cute as you are~,"['everything', 'cute', 'are~']",10,0.5,1.0,0.8
script-ch0.rpy,Sayori,Aww... I wanted to read everyones poems...,"['aww', '...', 'wanted', 'read', 'everyones', 'poems', '...']",7,0.3,0.9,1.0
script-ch0.rpy,Sayori,Yeaaah! Lets do it!,"['yeaaah', '!', 'lets', '!']",4,0.0,0.0,1.0
script-ch0.rpy,Sayori,player...,"['player', '...']",1,0.0,0.0,1.0
script-ch0.rpy,Sayori,Yesss! Im so happyyy~,"['yesss', '!', 'im', 'happyyy~']",4,0.0,0.0,1.0
script-ch0.rpy,Sayori,Hey player since were already here do you want to walk home together?,"['hey', 'player', 'since', 'already', 'want', 'walk', 'home', 'together', '?']",13,0.0,0.0,1.0
script-ch0.rpy,Sayori,Yaay~,['yaay~'],1,0.0,0.0,1.0
script-ch0.rpy,Sayori,...,['...'],0,0.0,0.0,1.0
script-ch0.rpy,Sayori,...,['...'],0,0.0,0.0,1.0
script-ch0.rpy,Sayori,W-What...,"['w-what', '...']",2,0.0,0.0,1.0
script-ch0.rpy,Sayori,...,['...'],0,0.0,0.0,1.0
script-ch0.rpy,Sayori,This...,['...'],1,0.0,0.0,1.0
script-ch0.rpy,Sayori,What is this...?,"['...', '?']",3,0.0,0.0,1.0
script-ch0.rpy,Sayori,Oh no...,"['oh', '...']",2,0.0,0.0,1.0
script-ch0.rpy,Sayori,No...,['...'],1,0.0,0.0,1.0
script-ch0.rpy,Sayori,This cant be it.,['cant'],4,0.0,0.0,1.0
script-ch0.rpy,Sayori,This cant be all there is.,['cant'],6,0.0,0.0,0.8333333333333334
script-ch0.rpy,Sayori,What is this?,['?'],3,0.0,0.0,1.0
script-ch0.rpy,Sayori,What am I?,['?'],3,0.0,0.0,1.0
script-ch0.rpy,Sayori,Make it stop!,"['make', 'stop', '!']",3,0.0,0.0,1.0
script-ch0.rpy,Sayori,PLEASE MAKE IT STOP!,"['please', 'make', 'stop', '!']",4,0.0,0.0,1.0
script-ch0.rpy,MC,Maybe but only because I decided to stop and wait for you.,"['maybe', 'decided', 'stop', 'wait']",12,0.0,1.0,1.0
script-ch0.rpy,MC,Well if people stare at you for acting weird then I dont want them to think were a couple or something.,"['well', 'people', 'stare', 'acting', 'weird', 'dont', 'want', 'think', 'couple', 'something']",21,-0.25,0.5,1.0
script-ch0.rpy,MC,Whatever you say Sayori...,"['whatever', 'say', 'sayori', '...']",4,0.0,0.0,1.0
script-ch0.rpy,MC,A club?,"['club', '?']",2,0.0,0.0,1.0
script-ch0.rpy,MC,I told you already Im really not interested in joining any clubs.,"['told', 'already', 'im', 'really', 'interested', 'joining', 'clubs']",12,-0.125,0.5,1.0
script-ch0.rpy,MC,I havent been looking either.,"['havent', 'looking', 'either']",5,0.0,0.0,1.0
script-ch0.rpy,MC,Did I...?,"['...', '?']",2,0.0,0.0,1.0
script-ch0.rpy,MC,Alright alright...,"['alright', 'alright', '...']",2,0.0,0.0,0.5
script-ch0.rpy,MC,Ill look at a few clubs if it makes you happy.,"['ill', 'look', 'clubs', 'makes', 'happy']",11,0.03333333333333336,0.7000000000000001,1.0
script-ch0.rpy,MC,No promises though.,"['promises', 'though']",3,0.0,0.0,1.0
script-ch0.rpy,MC,Yeah I guess Ill promise you that.,"['yeah', 'guess', 'ill', 'promise']",7,-0.5,1.0,1.0
script-ch0.rpy,MC,Clubs...,"['clubs', '...']",1,0.0,0.0,1.0
script-ch0.rpy,MC,Sayori...?,"['sayori', '...', '?']",1,0.0,0.0,1.0
script-ch0.rpy,MC,You dont need to wait up for me if its going to make you late to your own club.,"['dont', 'need', 'wait', 'going', 'make', 'late', 'club']",19,0.15,0.8,0.8421052631578947
script-ch0.rpy,MC,Know what?,"['know', '?']",2,0.0,0.0,1.0
script-ch0.rpy,MC,Sayori...,"['sayori', '...']",1,0.0,0.0,1.0
script-ch0.rpy,MC,...There is no way Im going to your club.,"['...', 'way', 'im', 'going', 'club']",9,0.0,0.0,1.0
script-ch0.rpy,MC,Yeah. Im going to the anime club.,"['yeah', 'im', 'going', 'anime', 'club']",7,0.0,0.0,1.0
script-ch0.rpy,MC,Why do you care so much anyway?,"['care', 'much', 'anyway', '?']",7,0.2,0.2,1.0
script-ch0.rpy,MC,Dont make promises you cant keep!,"['dont', 'make', 'promises', 'cant', 'keep', '!']",6,0.0,0.0,1.0
script-ch0.rpy,MC,Fine... Ill stop by for a cupcake okay?,"['fine', '...', 'ill', 'stop', 'cupcake', 'okay', '?']",8,0.1388888888888889,0.6666666666666666,1.0
script-ch0.rpy,MC,I told you dont call me a new member--,"['told', 'dont', 'call', 'new', 'member', '--']",9,0.13636363636363635,0.45454545454545453,1.0
script-ch0.rpy,MC,...,['...'],0,0.0,0.0,1.0
script-ch0.rpy,MC,S-Sorry...,"['s-sorry', '...']",2,0.0,0.0,1.0
script-ch0.rpy,MC,Ah... Well its nice to meet both of you.,"['ah', '...', 'well', 'nice', 'meet']",9,0.6,1.0,1.0
script-ch0.rpy,MC,Y-You too Monika.,"['y-you', 'monika']",4,0.0,0.0,1.0
script-ch0.rpy,MC,This is really good.,"['really', 'good']",4,0.7,0.6000000000000001,1.0
script-ch0.rpy,MC,Thank you Natsuki.,"['thank', 'natsuki']",3,0.0,0.0,1.0
script-ch0.rpy,MC,Eh? I thought you technically did. Sayori said--,"['eh', '?', 'thought', 'technically', 'sayori', 'said', '--']",8,0.0,0.1,1.0
script-ch0.rpy,MC,Alright alright...,"['alright', 'alright', '...']",2,0.0,0.0,0.5
script-ch0.rpy,MC,You keep a whole tea set in this classroom?,"['keep', 'whole', 'tea', 'set', 'classroom', '?']",9,0.2,0.4,1.0
script-ch0.rpy,MC,Ah... I-I guess...,"['ah', '...', 'i-i', 'guess', '...']",4,0.0,0.0,1.0
script-ch0.rpy,MC,I believe you.,['believe'],3,0.0,0.0,1.0
script-ch0.rpy,MC,Well tea and reading might not be a pastime for me but I at least enjoy tea.,"['well', 'tea', 'reading', 'might', 'pastime', 'least', 'enjoy', 'tea']",17,0.05000000000000002,0.45,0.9411764705882353
script-ch0.rpy,MC,Um...,"['um', '...']",1,0.0,0.0,1.0
script-ch0.rpy,MC,Well I havent joined any clubs yet and Sayori seemed really happy here so...,"['well', 'havent', 'joined', 'clubs', 'yet', 'sayori', 'seemed', 'really', 'happy', '...']",14,0.8,1.0,1.0
script-ch0.rpy,MC,Monika Im surprised.,"['monika', 'im', 'surprised']",3,0.1,0.9,1.0
script-ch0.rpy,MC,How come you decided to start your own club?,"['come', 'decided', 'start', 'club', '?']",9,0.6,1.0,1.0
script-ch0.rpy,MC,You could probably be a board member for any of the major clubs.,"['could', 'probably', 'board', 'member', 'major', 'clubs']",13,0.0625,0.5,1.0
script-ch0.rpy,MC,Werent you a leader of the debate club last year?,"['werent', 'leader', 'debate', 'club', 'last', 'year', '?']",10,0.0,0.06666666666666667,1.0
script-ch0.rpy,MC,Then Im surprised there arent more people in the club yet.,"['im', 'surprised', 'arent', 'people', 'club', 'yet']",11,0.3,0.7,1.0
script-ch0.rpy,MC,It must be hard to start a new club.,"['must', 'hard', 'start', 'new', 'club']",9,-0.07765151515151517,0.49810606060606055,1.0
script-ch0.rpy,MC,Well... Ah...,"['well', '...', 'ah', '...']",2,0.0,0.0,1.0
script-ch0.rpy,MC,...Manga...,"['...', 'manga', '...']",1,0.0,0.0,1.0
script-ch0.rpy,MC,...Well that can change...,"['...', 'well', 'change', '...']",4,0.0,0.0,1.0
script-ch0.rpy,MC,Anyway what about you Yuri?,"['anyway', 'yuri', '?']",5,0.0,0.0,1.0
script-ch0.rpy,MC,Ah I read a horror book once...,"['ah', 'read', 'horror', 'book', '...']",7,0.0,0.0,1.0
script-ch0.rpy,MC,Natsuki you write your own poems?,"['natsuki', 'write', 'poems', '?']",6,0.6,1.0,1.0
script-ch0.rpy,MC,I think thats impressive.,"['think', 'thats', 'impressive']",4,1.0,1.0,1.0
script-ch0.rpy,MC,Why dont you share them sometime?,"['dont', 'share', 'sometime', '?']",6,0.0,0.0,1.0
script-ch0.rpy,MC,Ah...not a very confident writer yet?,"['ah', '...', 'confident', 'writer', 'yet', '?']",7,0.65,1.0,1.0
script-ch0.rpy,MC,I guess its the same for Yuri...,"['guess', 'yuri', '...']",7,0.0,0.125,1.0
script-ch0.rpy,MC,Hold on...theres still one problem.,"['hold', '...', 'theres', 'still', 'one', 'problem']",6,0.0,0.0,1.0
script-ch0.rpy,MC,I never said I would join this club!,"['never', 'said', 'would', 'join', 'club', '!']",8,0.0,0.0,0.875
script-ch0.rpy,MC,Sayori may have convinced me to stop by but I never made any decision.,"['sayori', 'may', 'convinced', 'stop', 'never', 'made', 'decision']",14,0.0,0.0,1.0
script-ch0.rpy,MC,I still have other clubs to look at and...um...,"['still', 'clubs', 'look', '...', 'um', '...']",10,-0.125,0.375,1.0
script-ch0.rpy,MC,Y-You all...,"['y-you', '...']",3,0.0,0.0,1.0
script-ch0.rpy,MC,...Right.,"['...', 'right']",1,0.0,0.0,1.0
script-ch0.rpy,MC,Okay Ive decided then.,"['okay', 'ive', 'decided']",4,0.5,0.5,1.0
script-ch0.rpy,MC,Ill join the Literature Club.,"['ill', 'join', 'literature', 'club']",5,-0.5,1.0,1.0
script-ch0.rpy,MC,H-Hey--,"['h-hey', '--']",2,0.0,0.0,1.0
script-ch0.rpy,MC,Ah...thanks I guess.,"['ah', '...', 'thanks', 'guess']",4,0.0,0.0,1.0
script-ch0.rpy,MC,Y-Yeah...,"['y-yeah', '...']",2,0.0,0.0,1.0
script-ch0.rpy,MC,Sure might as well.,"['sure', 'might', 'well']",4,0.5,0.8888888888888888,1.0
script-ch0.rpy,Yuri,Welcome to the Literature Club. Its a pleasure meeting you.,"['welcome', 'literature', 'club', 'pleasure', 'meeting']",10,0.8,0.9,1.0
script-ch0.rpy,Yuri,Sayori always says nice things about you.,"['sayori', 'always', 'says', 'nice', 'things']",7,0.6,1.0,1.0
script-ch0.rpy,Yuri,Natsuki...,"['natsuki', '...']",1,0.0,0.0,1.0
script-ch0.rpy,Yuri,D-Dont say things like that...,"['d-dont', 'say', 'things', 'like', '...']",6,0.0,0.0,1.0
script-ch0.rpy,Yuri,Then how about I make some tea as well?,"['make', 'tea', 'well', '?']",9,0.0,0.0,1.0
script-ch0.rpy,Yuri,Dont worry the teachers gave us permission.,"['dont', 'worry', 'teachers', 'gave', 'us', 'permission']",7,0.0,0.0,1.0
script-ch0.rpy,Yuri,After all doesnt a hot cup of tea help you enjoy a good book?,"['doesnt', 'hot', 'cup', 'tea', 'help', 'enjoy', 'good', 'book', '?']",14,0.45,0.65,0.9285714285714286
script-ch0.rpy,Yuri,Eh?! T-Thats not...,"['eh', '?', '!', 't-thats', '...']",4,0.0,0.0,1.0
script-ch0.rpy,Yuri,I meant that you know...,"['meant', 'know', '...']",5,0.0,0.0,1.0
script-ch0.rpy,Yuri,Im glad...,"['im', 'glad', '...']",2,0.5,1.0,1.0
script-ch0.rpy,Yuri,Well do our best.,"['well', 'best']",4,1.0,0.3,1.0
script-ch0.rpy,Yuri,So player what kinds of things do you like to read?,"['player', 'kinds', 'things', 'like', 'read', '?']",11,0.0,0.0,1.0
script-ch0.rpy,Yuri,N-Not much of a reader I guess...,"['n-not', 'much', 'reader', 'guess', '...']",8,0.2,0.2,1.0
script-ch0.rpy,Yuri,Well lets see...,"['well', 'lets', 'see', '...']",3,0.0,0.0,1.0
script-ch0.rpy,Yuri,My favorites are usually novels that build deep and complex fantasy worlds.,"['favorites', 'usually', 'novels', 'build', 'deep', 'complex', 'fantasy', 'worlds']",12,-0.18333333333333335,0.35000000000000003,1.0
script-ch0.rpy,Yuri,The level of creativity and craftsmanship behind them is amazing to me.,"['level', 'creativity', 'craftsmanship', 'behind', 'amazing']",12,0.10000000000000003,0.8,1.0
script-ch0.rpy,Yuri,And telling a good story in such a foreign world is equally impressive.,"['telling', 'good', 'story', 'foreign', 'world', 'equally', 'impressive']",13,0.39375,0.55625,0.9230769230769231
script-ch0.rpy,Yuri,But you know I like a lot of things.,"['know', 'like', 'lot', 'things']",9,0.0,0.0,1.0
script-ch0.rpy,Yuri,Stories with deep psychological elements usually immerse me as well.,"['stories', 'deep', 'psychological', 'elements', 'usually', 'immerse', 'well']",10,-0.08333333333333333,0.25,1.0
script-ch0.rpy,Yuri,Isnt it amazing how a writer can so deliberately take advantage of your own lack of imagination to completely throw you for a loop?,"['isnt', 'amazing', 'writer', 'deliberately', 'take', 'advantage', 'lack', 'imagination', 'completely', 'throw', 'loop', '?']",24,0.4333333333333334,0.7666666666666666,0.9166666666666666
script-ch0.rpy,Yuri,Anyway Ive been reading a lot of horror lately...,"['anyway', 'ive', 'reading', 'lot', 'horror', 'lately', '...']",9,-0.3,0.6,1.0
script-ch0.rpy,Yuri,I guess you could say that.,"['guess', 'could', 'say']",6,0.0,0.0,1.0
script-ch0.rpy,Yuri,But if a story makes me think or takes me to another world then I really cant put it down.,"['story', 'makes', 'think', 'takes', 'another', 'world', 'really', 'cant', 'put']",20,0.022222222222222213,0.24444444444444446,0.95
script-ch0.rpy,Yuri,Surreal horror is often very successful at changing the way you look at the world if only for a brief moment.,"['surreal', 'horror', 'often', 'successful', 'changing', 'way', 'look', 'world', 'brief', 'moment']",21,0.30625,0.8333333333333334,0.9047619047619048
script-ch0.rpy,Yuri,Oh? Whys that?,"['oh', '?', 'whys', '?']",3,0.0,0.0,1.0
script-ch0.rpy,Yuri,I understand how Natsuki feels.,"['understand', 'natsuki', 'feels']",5,0.0,0.0,1.0
script-ch0.rpy,Yuri,Sharing that level of writing takes more than just confidence.,"['sharing', 'level', 'writing', 'takes', 'confidence']",10,0.5,0.5,1.0
script-ch0.rpy,Yuri,The truest form of writing is writing to oneself.,"['truest', 'form', 'writing', 'writing', 'oneself']",9,0.0,0.0,0.8888888888888888
script-ch0.rpy,Yuri,You must be willing to open up to your readers exposing your vulnerabilities and showing even the deepest reaches of your heart.,"['must', 'willing', 'open', 'readers', 'exposing', 'vulnerabilities', 'showing', 'even', 'deepest', 'reaches', 'heart']",22,0.125,0.625,0.8636363636363636
script-ch0.rpy,Yuri,...,['...'],0,0.0,0.0,1.0
script-ch0.rpy,Yuri,...,['...'],0,0.0,0.0,1.0
script-ch0.rpy,Yuri,Im sorry I thought...,"['im', 'sorry', 'thought', '...']",4,-0.5,1.0,1.0
script-ch0.rpy,Yuri,You really did scare me for a moment...,"['really', 'scare', 'moment', '...']",8,0.2,0.2,1.0
script-ch0.rpy,Natsuki,Seriously? You brought a boy?,"['seriously', '?', 'brought', 'boy', '?']",5,-0.3333333333333333,0.6666666666666666,1.0
script-ch0.rpy,Natsuki,Way to kill the atmosphere.,"['way', 'kill', 'atmosphere']",5,0.0,0.0,1.0
script-ch0.rpy,Natsuki,What are you looking at?,"['looking', '?']",5,0.0,0.0,1.0
script-ch0.rpy,Natsuki,If you want to say something say it.,"['want', 'say', 'something', 'say']",8,0.0,0.0,0.875
script-ch0.rpy,Natsuki,Hmph.,['hmph'],1,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Hey! I made them Ill get them!,"['hey', '!', 'made', 'ill', 'get', '!']",7,-0.625,1.0,0.8571428571428571
script-ch0.rpy,Natsuki,Okaaay are you ready?,"['okaaay', 'ready', '?']",4,0.2,0.5,1.0
script-ch0.rpy,Natsuki,...Ta-daa!,"['...', 'ta-daa', '!']",2,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Ehehe. Well you know.,"['ehehe', 'well', 'know']",4,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Just hurry and take one!,"['hurry', 'take', 'one', '!']",5,0.0,0.0,1.0
script-ch0.rpy,Natsuki,W-Why are you thanking me? Its not like I...!,"['w-why', 'thanking', '?', 'like', '...', '!']",10,0.0,0.0,1.0
script-ch0.rpy,Natsuki,...Made them for you or anything.,"['...', 'made', 'anything']",6,0.0,0.0,1.0
script-ch0.rpy,Natsuki,12c Well maybe!,"['12c', 'well', 'maybe', '!']",3,0.0,0.0,1.0
script-ch0.rpy,Natsuki,But not for y-you know iyou!/i Dummy...,"['y-you', 'know', 'iyou', '!', '/i', 'dummy', '...']",9,0.0,0.0,1.0
script-ch0.rpy,Natsuki,You know it!,"['know', '!']",3,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Ugh I hate horror...,"['ugh', 'hate', 'horror', '...']",4,-0.8,0.9,1.0
script-ch0.rpy,Natsuki,Well I just...,"['well', '...']",3,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Never mind.,"['never', 'mind']",2,0.0,0.0,1.0
script-ch0.rpy,Natsuki,W-What?,"['w-what', '?']",2,0.0,0.0,1.0
script-ch0.rpy,Natsuki,What gives you that idea?,"['gives', 'idea', '?']",5,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Dont say it out loud!!,"['dont', 'say', 'loud', '!', '!']",5,0.15625,0.8,1.0
script-ch0.rpy,Natsuki,And give that back!,"['give', 'back', '!']",4,0.0,0.0,1.0
script-ch0.rpy,Natsuki,iIm not cute!!/i,"['iim', 'cute', '!', '!', '/i']",4,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Eh? Well I guess sometimes.,"['eh', '?', 'well', 'guess', 'sometimes']",5,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Why do you care?,"['care', '?']",4,0.0,0.0,1.0
script-ch0.rpy,Natsuki,N-No!,"['n-no', '!']",2,0.0,0.0,1.0
script-ch0.rpy,Natsuki,You wouldnt...like them...,"['wouldnt', '...', 'like', '...']",4,0.0,0.0,1.0
script-ch0.rpy,Natsuki,    ny ...?,"['ny', '...', '?']",1,0.0,0.0,0.6666666666666666
script-ch0.rpy,Natsuki,U-Um...,"['u-um', '...']",2,0.0,0.0,1.0
script-ch0.rpy,Natsuki,Hmph.,['hmph'],1,0.0,0.0,1.0
script-ch0.rpy,Natsuki,If you really just came for the cupcakes I would be super pissed.,"['really', 'came', 'cupcakes', 'would', 'super', 'pissed']",13,0.26666666666666666,0.43333333333333335,1.0
script-ch0.rpy,Monika,Maybe but only because I decided to stop and wait for you.,"['maybe', 'decided', 'stop', 'wait']",12,0.0,1.0,1.0
script-ch0.rpy,Monika,Well if people stare at you for acting weird then I dont want them to think were a couple or something.,"['well', 'people', 'stare', 'acting', 'weird', 'dont', 'want', 'think', 'couple', 'something']",21,-0.25,0.5,1.0
script-ch0.rpy,Monika,Whatever you say Sayori...,"['whatever', 'say', 'sayori', '...']",4,0.0,0.0,1.0
script-ch0.rpy,Monika,A club?,"['club', '?']",2,0.0,0.0,1.0
script-ch0.rpy,Monika,I told you already Im really not interested in joining any clubs.,"['told', 'already', 'im', 'really', 'interested', 'joining', 'clubs']",12,-0.125,0.5,1.0
script-ch0.rpy,Monika,I havent been looking either.,"['havent', 'looking', 'either']",5,0.0,0.0,1.0
script-ch0.rpy,Monika,Did I...?,"['...', '?']",2,0.0,0.0,1.0
script-ch0.rpy,Monika,Alright alright...,"['alright', 'alright', '...']",2,0.0,0.0,0.5
script-ch0.rpy,Monika,Ill look at a few clubs if it makes you happy.,"['ill', 'look', 'clubs', 'makes', 'happy']",11,0.03333333333333336,0.7000000000000001,1.0
script-ch0.rpy,Monika,No promises though.,"['promises', 'though']",3,0.0,0.0,1.0
script-ch0.rpy,Monika,Yeah I guess Ill promise you that.,"['yeah', 'guess', 'ill', 'promise']",7,-0.5,1.0,1.0
script-ch0.rpy,Monika,Clubs...,"['clubs', '...']",1,0.0,0.0,1.0
script-ch0.rpy,Monika,Sayori...?,"['sayori', '...', '?']",1,0.0,0.0,1.0
script-ch0.rpy,Monika,You dont need to wait up for me if its going to make you late to your own club.,"['dont', 'need', 'wait', 'going', 'make', 'late', 'club']",19,0.15,0.8,0.8421052631578947
script-ch0.rpy,Monika,Know what?,"['know', '?']",2,0.0,0.0,1.0
script-ch0.rpy,Monika,Sayori...,"['sayori', '...']",1,0.0,0.0,1.0
script-ch0.rpy,Monika,...There is no way Im going to your club.,"['...', 'way', 'im', 'going', 'club']",9,0.0,0.0,1.0
script-ch0.rpy,Monika,Yeah. Im going to the anime club.,"['yeah', 'im', 'going', 'anime', 'club']",7,0.0,0.0,1.0
script-ch0.rpy,Monika,Why do you care so much anyway?,"['care', 'much', 'anyway', '?']",7,0.2,0.2,1.0
script-ch0.rpy,Monika,Dont make promises you cant keep!,"['dont', 'make', 'promises', 'cant', 'keep', '!']",6,0.0,0.0,1.0
script-ch0.rpy,Monika,Fine... Ill stop by for a cupcake okay?,"['fine', '...', 'ill', 'stop', 'cupcake', 'okay', '?']",8,0.1388888888888889,0.6666666666666666,1.0
script-ch0.rpy,Monika,I told you dont call me a new member--,"['told', 'dont', 'call', 'new', 'member', '--']",9,0.13636363636363635,0.45454545454545453,1.0
script-ch0.rpy,Monika,Ah player! What a nice surprise!,"['ah', 'player', '!', 'nice', 'surprise', '!']",6,0.75,1.0,1.0
script-ch0.rpy,Monika,Welcome to the club!,"['welcome', 'club', '!']",4,1.0,0.9,1.0
script-ch0.rpy,Monika,...,['...'],0,0.0,0.0,1.0
